Core Symbol,Symbol Group Path,Long Points,Short Points,digits
MXN/JPY,*,-0.41,-1.82,3
HKD/JPY,*,-0.44,-1.09,3
NOK/JPY,*,-0.13,-1.3,3
GBP/SEK,*,-0.26,-5.92,4
SEK/JPY,*,0.13,-0.22,3
NOK/SEK,*,-1.32,-6.67,5
EUR/DKK,*,3.51,-17.42,5
EUR/SEK,*,27.77,-0.98,5
CAD/SGD,*,-1.26,-4.62,5
GBP/NOK,*,4.81,0.09,4
EUR/PLN,*,38.86,2.85,5
EUR/NOK,*,72.8,17.82,5
GBP/HKD,*,59.48,3.65,5
EUR/HKD,*,77.27,33.34,5
EUR/TRY,*,237.22,0,5
USD/MXN,*,393.09,0,5
USD/TRY,*,165.06,42.31,5
EUR/MXN,*,619.22,0,5
USD/RUB,*,9.03,3.08,3
USD/CZK,*,2.29,-1.8,3
USD/DKK,*,-17.69,-54.74,5
USD/HKD,*,17.61,-12.01,5
USD/HUF,*,-4.9,-18.38,3
USD/PLN,*,7.8,-19.19,5
USD/ZAR,*,267.31,85.16,5
USD/SEK,*,-15.86,-62.16,5
EUR/GBP,*,4.69,1.77,5
USD/CNH,*,53.82,5.3,5
USD/CHF,*,-4.64,-9.27,5
USD/SGD,*,1.38,-2.76,5
EUR/JPY,*,1.93,0.2,3
EUR/USD,*,8.94,4.85,5
EUR/NZD,*,11.08,5.24,5
USD/NOK,*,-0.34,-15.73,5
EUR/SGD,*,15.47,1.73,5
USD/CAD,*,1.06,-0.26,5
USD/JPY,*,-3.9,-7.59,3
GBP/USD,*,4.77,1.8,5
GBP/AUD,*,4.14,0.68,5
GBP/CAD,*,6.9,3.26,5
GBP/CHF,*,-3.18,-7.54,5
GBP/SGD,*,10.9,-0.28,5
GBP/NZD,*,5.8,1.7,5
GBP/JPY,*,-2.04,-5.93,3
CHF/JPY,*,3.17,0.75,3
AUD/NZD,*,0.89,-1.98,5
AUD/SGD,*,3.45,-0.97,5
AUD/CAD,*,2.48,0.61,5
CAD/JPY,*,-2.89,-6.35,3
EUR/AUD,*,10.98,4.91,5
EUR/CHF,*,-0.2,-1.79,5
AUD/JPY,*,-1.63,-4.28,3
CAD/CHF,*,-3.59,-7.08,5
AUD/CHF,*,-2.24,-5.03,5
EUR/CAD,*,12.24,5.98,5
NZD/SGD,*,3.04,-1.38,5
NZD/USD,*,1.66,0.34,5
AUD/USD,*,1.72,0.43,5
NZD/CAD,*,2.21,0.41,5
NZD/CHF,*,-2.24,-5.03,5
NZD/JPY,*,-1.84,-4,3
SGD/JPY,*,-0.65,-7.41,3
XAU/USD,*,10.55,5.2,2
XAG/USD,*,2.46,0.47,3
XPT/USD,*,16.15,0.26,2
XPD/USD,*,14.93,-21.82,2
XAU/AUD,*,1.22,0.51,2
XAG/AUD,*,1.57,0.6,3
CHF/SGD,*,15.81,1.56,5
AUD/CNH,*,53.15,-0.91,5
BCHUSD,*,23.74,-23.74,2
DSHUSD,*,7.33,-7.33,2
LTCUSD,*,3.77,-3.77,2
ETHUSD,*,10.95,-10.95,2
XRPUSD,*,1.48,-1.48,4
BTCUSD,*,571.37,-571.37,2
HO-C,*,1.23,-1.51,4
COPPER-C,*,3.25,-0.99,4
NG-C,*,-0.17,-0.55,3
GAS-C,*,0.53,-1.85,4
Cocoa-C,*,5.88,1.06,1
Coffee-C,*,5.69,2.81,4
Cotton-C,*,17.43,4.56,5
OJ-C,*,6.6,3.62,4
Sugar-C,*,9.36,5.03,5
GASOIL-C,*,3.7,-4.72,2
Corn.pr,*,1.53,0.65,3
LeanHogs-C,*,11.48,7.41,4
Soybean-C,*,2.93,1.07,3
Wheat-C,*,1.02,0.09,3
CHINA50,*,0,0,0
DAX30,*,114.22,-142.53,2
NAS100,*,131.21,-42.92,2
Nikkei225,*,218.24,-223.92,2
HSI,*,4.24,-1.11,0
SPI200,*,83.98,-49.93,2
FTSE100,*,85.09,-57,2
EU50,*,31.77,-39.65,2
SP500,*,40.14,-22.95,2
DJ30,*,418.39,-136.87,2
FRA40,*,50.66,-63.22,2
ES35,*,0.63,-0.92,2
ITA40,*,157.02,-229.15,2
UKOUSD,*,-23.87,-45.54,3
USOUSD,*,6.14,-2.55,3
*,*,0,0,0
