Live,Symbol,Percentage,Initial_Margin,Maintenance,Hedge,Margin_Calculation,Profit_Calculation,Trade,Comment
Lab,.USOil,0.333333,0,0,0,4,0,1,Original Settings.,
Lab,.USOil,1,2000,2000,X,2,X,2,Changes Done.
Lab,.UKOil,0.333333,0,0,500,4,1,2,Original Settings.,
Lab,.UKOil,1,2000,2000,X,2,X,2,Changes Done.
Lab,.USOil.d,1,1000,1000,0,2,0,2,Original Settings.,
Lab,.USOil.d,1,2000,2000,X,2,X,2,Changes Done.
Lab,.UKOil.d,0.333333,0,0,500,4,1,2,Original Settings.,
Lab,.UKOil.d,1,2000,2000,X,2,X,2,Changes Done.
Lab,.USOil.c,1,1000,1000,0,2,0,2,Original Settings.,
Lab,.USOil.c,1,2000,2000,X,2,X,2,Changes Done.
Lab,.UKOil.c,0.333333,0,0,0,4,1,2,Original Settings.,
Lab,.UKOil.c,1,2000,2000,X,2,X,2,Changes Done.
Lab,.UKOil.v,0.333333,0,0,0,4,1,2,Original Settings.,
Lab,.UKOil.v,1,2000,2000,X,2,X,2,Changes Done.
Lab,.USOil.v,1,1000,1000,0,2,0,2,Original Settings.,
Lab,.USOil.v,1,2000,2000,X,2,X,2,Changes Done.
Lab,.USOil`,1,1000,1000,0,2,0,2,Original Settings.,
Lab,.USOil`,1,2000,2000,X,2,X,2,Changes Done.
Lab,.UKOil`,0.333333,0,0,500,4,1,2,Original Settings.,
Lab,.UKOil`,1,2000,2000,X,2,X,2,Changes Done.
Live - 1,AUDUSD!, , , , , , , ,Symbol ignored: *
Live - 1,GBPNZDc, , , , , , , ,Symbol ignored: *
Live - 1,creditearn, , , , , , , ,Symbol ignored: *
Live - 1,AUDCAD$, , , , , , , ,Symbol ignored: *
Live - 1,AUDCAD!, , , , , , , ,Symbol ignored: *
Live - 1,AUDCADq, , , , , , , ,Symbol ignored: *
Live - 1,AUDCAD, , , , , , , ,Symbol ignored: *
Live - 1,AUDCADc, , , , , , , ,Symbol ignored: *
Live - 1,AUDCHF$, , , , , , , ,Symbol ignored: *
Live - 1,AUDCHF!, , , , , , , ,Symbol ignored: *
Live - 1,AUDCHFc, , , , , , , ,Symbol ignored: *
Live - 1,AUDCHF, , , , , , , ,Symbol ignored: *
Live - 1,AUDCHFq, , , , , , , ,Symbol ignored: *
Live - 1,AUDJPY$, , , , , , , ,Symbol ignored: *
Live - 1,AUDJPY!, , , , , , , ,Symbol ignored: *
Live - 1,AUDJPY, , , , , , , ,Symbol ignored: *
Live - 1,AUDJPYc, , , , , , , ,Symbol ignored: *
Live - 1,AUDJPYq, , , , , , , ,Symbol ignored: *
Live - 1,AUDNZD!, , , , , , , ,Symbol ignored: *
Live - 1,AUDNZD$, , , , , , , ,Symbol ignored: *
Live - 1,AUDNZD, , , , , , , ,Symbol ignored: *
Live - 1,AUDNZDc, , , , , , , ,Symbol ignored: *
Live - 1,AUDNZD_, , , , , , , ,Symbol ignored: *
Live - 1,AUDNZDq, , , , , , , ,Symbol ignored: *
Live - 1,AUDSGD$, , , , , , , ,Symbol ignored: *
Live - 1,AUDSGD, , , , , , , ,Symbol ignored: *
Live - 1,AUDSGDq, , , , , , , ,Symbol ignored: *
Live - 1,AUDUSD$, , , , , , , ,Symbol ignored: *
Live - 1,AUDUSD, , , , , , , ,Symbol ignored: *
Live - 1,AUDUSDc, , , , , , , ,Symbol ignored: *
Live - 1,AUDUSD_, , , , , , , ,Symbol ignored: *
Live - 1,AUDUSDq, , , , , , , ,Symbol ignored: *
Live - 1,CADCHF$, , , , , , , ,Symbol ignored: *
Live - 1,CADCHF, , , , , , , ,Symbol ignored: *
Live - 1,CADCHF!, , , , , , , ,Symbol ignored: *
Live - 1,CADCHFc, , , , , , , ,Symbol ignored: *
Live - 1,CADCHFq, , , , , , , ,Symbol ignored: *
Live - 1,CADJPY$, , , , , , , ,Symbol ignored: *
Live - 1,CADJPY, , , , , , , ,Symbol ignored: *
Live - 1,CADJPYc, , , , , , , ,Symbol ignored: *
Live - 1,CADJPYq, , , , , , , ,Symbol ignored: *
Live - 1,CHFJPY$, , , , , , , ,Symbol ignored: *
Live - 1,CHFJPY!, , , , , , , ,Symbol ignored: *
Live - 1,CHFJPY, , , , , , , ,Symbol ignored: *
Live - 1,CHFJPYc, , , , , , , ,Symbol ignored: *
Live - 1,CHFJPYq, , , , , , , ,Symbol ignored: *
Live - 1,CHFSGD$, , , , , , , ,Symbol ignored: *
Live - 1,CHFSGD, , , , , , , ,Symbol ignored: *
Live - 1,CHFSGDq, , , , , , , ,Symbol ignored: *
Live - 1,CADJPY!, , , , , , , ,Symbol ignored: *
Live - 1,EURAUD!, , , , , , , ,Symbol ignored: *
Live - 1,EURAUD, , , , , , , ,Symbol ignored: *
Live - 1,EURAUD$, , , , , , , ,Symbol ignored: *
Live - 1,EURAUDc, , , , , , , ,Symbol ignored: *
Live - 1,EURAUDq, , , , , , , ,Symbol ignored: *
Live - 1,EURCAD$, , , , , , , ,Symbol ignored: *
Live - 1,EURCAD!, , , , , , , ,Symbol ignored: *
Live - 1,EURCAD, , , , , , , ,Symbol ignored: *
Live - 1,EURCADc, , , , , , , ,Symbol ignored: *
Live - 1,EURCADq, , , , , , , ,Symbol ignored: *
Live - 1,EURCHF$, , , , , , , ,Symbol ignored: *
Live - 1,EURCHF!, , , , , , , ,Symbol ignored: *
Live - 1,EURCHF, , , , , , , ,Symbol ignored: *
Live - 1,EURCHFc, , , , , , , ,Symbol ignored: *
Live - 1,EURCHF_, , , , , , , ,Symbol ignored: *
Live - 1,EURCHFq, , , , , , , ,Symbol ignored: *
Live - 1,EURGBP$, , , , , , , ,Symbol ignored: *
Live - 1,EURGBP!, , , , , , , ,Symbol ignored: *
Live - 1,EURGBP, , , , , , , ,Symbol ignored: *
Live - 1,EURGBPc, , , , , , , ,Symbol ignored: *
Live - 1,EURGBPq, , , , , , , ,Symbol ignored: *
Live - 1,EURJPY$, , , , , , , ,Symbol ignored: *
Live - 1,EURJPY!, , , , , , , ,Symbol ignored: *
Live - 1,EURJPY, , , , , , , ,Symbol ignored: *
Live - 1,EURJPY_, , , , , , , ,Symbol ignored: *
Live - 1,EURJPYc, , , , , , , ,Symbol ignored: *
Live - 1,EURNZD$, , , , , , , ,Symbol ignored: *
Live - 1,EURJPYq, , , , , , , ,Symbol ignored: *
Live - 1,EURNZD!, , , , , , , ,Symbol ignored: *
Live - 1,EURNZD, , , , , , , ,Symbol ignored: *
Live - 1,EURNZDc, , , , , , , ,Symbol ignored: *
Live - 1,EURNZDq, , , , , , , ,Symbol ignored: *
Live - 1,EURSGD$, , , , , , , ,Symbol ignored: *
Live - 1,EURSGD, , , , , , , ,Symbol ignored: *
Live - 1,EURSGDq, , , , , , , ,Symbol ignored: *
Live - 1,EURUSD$, , , , , , , ,Symbol ignored: *
Live - 1,EURUSD!, , , , , , , ,Symbol ignored: *
Live - 1,EURUSD, , , , , , , ,Symbol ignored: *
Live - 1,EURUSD_, , , , , , , ,Symbol ignored: *
Live - 1,EURUSDc, , , , , , , ,Symbol ignored: *
Live - 1,EURUSDq, , , , , , , ,Symbol ignored: *
Live - 1,GBPAUD$, , , , , , , ,Symbol ignored: *
Live - 1,GBPAUD!, , , , , , , ,Symbol ignored: *
Live - 1,GBPAUD, , , , , , , ,Symbol ignored: *
Live - 1,GBPAUDc, , , , , , , ,Symbol ignored: *
Live - 1,GBPAUDq, , , , , , , ,Symbol ignored: *
Live - 1,GBPCAD$, , , , , , , ,Symbol ignored: *
Live - 1,GBPCAD!, , , , , , , ,Symbol ignored: *
Live - 1,GBPCAD, , , , , , , ,Symbol ignored: *
Live - 1,GBPCADc, , , , , , , ,Symbol ignored: *
Live - 1,GBPCADq, , , , , , , ,Symbol ignored: *
Live - 1,GBPCHF$, , , , , , , ,Symbol ignored: *
Live - 1,GBPCHF!, , , , , , , ,Symbol ignored: *
Live - 1,GBPCHF, , , , , , , ,Symbol ignored: *
Live - 1,GBPCHFc, , , , , , , ,Symbol ignored: *
Live - 1,GBPCHFq, , , , , , , ,Symbol ignored: *
Live - 1,GBPNZD$, , , , , , , ,Symbol ignored: *
Live - 1,GBPNZD!, , , , , , , ,Symbol ignored: *
Live - 1,GBPNZD, , , , , , , ,Symbol ignored: *
Live - 1,GBPJPY$, , , , , , , ,Symbol ignored: *
Live - 1,GBPJPY!, , , , , , , ,Symbol ignored: *
Live - 1,GBPJPY, , , , , , , ,Symbol ignored: *
Live - 1,GBPJPYc, , , , , , , ,Symbol ignored: *
Live - 1,GBPJPYq, , , , , , , ,Symbol ignored: *
Live - 1,GBPSGD$, , , , , , , ,Symbol ignored: *
Live - 1,GBPSGD, , , , , , , ,Symbol ignored: *
Live - 1,GBPSGDq, , , , , , , ,Symbol ignored: *
Live - 1,GBPUSD$, , , , , , , ,Symbol ignored: *
Live - 1,GBPUSD!, , , , , , , ,Symbol ignored: *
Live - 1,GBPUSD, , , , , , , ,Symbol ignored: *
Live - 1,GBPUSD_, , , , , , , ,Symbol ignored: *
Live - 1,GBPUSDc, , , , , , , ,Symbol ignored: *
Live - 1,GBPUSDq, , , , , , , ,Symbol ignored: *
Live - 1,NZDCAD$, , , , , , , ,Symbol ignored: *
Live - 1,NZDJPY$, , , , , , , ,Symbol ignored: *
Live - 1,NZDJPY!, , , , , , , ,Symbol ignored: *
Live - 1,NZDJPY, , , , , , , ,Symbol ignored: *
Live - 1,NZDJPYc, , , , , , , ,Symbol ignored: *
Live - 1,NZDJPYq, , , , , , , ,Symbol ignored: *
Live - 1,NZDUSD$, , , , , , , ,Symbol ignored: *
Live - 1,NZDUSD!, , , , , , , ,Symbol ignored: *
Live - 1,NZDUSD, , , , , , , ,Symbol ignored: *
Live - 1,NZDUSDc, , , , , , , ,Symbol ignored: *
Live - 1,NZDUSD_, , , , , , , ,Symbol ignored: *
Live - 1,NZDUSDq, , , , , , , ,Symbol ignored: *
Live - 1,SGDJPY$, , , , , , , ,Symbol ignored: *
Live - 1,SGDJPY, , , , , , , ,Symbol ignored: *
Live - 1,SGDJPYq, , , , , , , ,Symbol ignored: *
Live - 1,USDCAD!, , , , , , , ,Symbol ignored: *
Live - 1,USDCAD$, , , , , , , ,Symbol ignored: *
Live - 1,USDCAD, , , , , , , ,Symbol ignored: *
Live - 1,USDCADc, , , , , , , ,Symbol ignored: *
Live - 1,USDCADq, , , , , , , ,Symbol ignored: *
Live - 1,USDCHF$, , , , , , , ,Symbol ignored: *
Live - 1,USDCHF!, , , , , , , ,Symbol ignored: *
Live - 1,USDCHF, , , , , , , ,Symbol ignored: *
Live - 1,USDCHF_, , , , , , , ,Symbol ignored: *
Live - 1,USDCHFc, , , , , , , ,Symbol ignored: *
Live - 1,XAGUSDq, , , , , , , ,Symbol ignored: *
Live - 1,USDCHFq, , , , , , , ,Symbol ignored: *
Live - 1,USDJPY$, , , , , , , ,Symbol ignored: *
Live - 1,USDJPY!, , , , , , , ,Symbol ignored: *
Live - 1,USDJPY, , , , , , , ,Symbol ignored: *
Live - 1,USDJPYc, , , , , , , ,Symbol ignored: *
Live - 1,USDJPY_, , , , , , , ,Symbol ignored: *
Live - 1,USDJPYq, , , , , , , ,Symbol ignored: *
Live - 1,USDSGD, , , , , , , ,Symbol ignored: *
Live - 1,USDSGD$, , , , , , , ,Symbol ignored: *
Live - 1,USDSGDq, , , , , , , ,Symbol ignored: *
Live - 1,USDTRY, , , , , , , ,Symbol ignored: *
